Måned,År,TotaltAntallLagtUt
jan,2015,1817
jan,2016,1421
jan,2017,1470
jan,2018,1331
jan,2019,1555
jan,2020,1599
jan,2021,1473
jan,2022,1384
jan,2023,1427
jan,2024,1369
jan,2025,1861
feb,2015,1699
feb,2016,1638
feb,2017,1502
feb,2018,1302
feb,2019,1471
feb,2020,1582
feb,2021,1807
feb,2022,1492
feb,2023,1352
feb,2024,1450
feb,2025,1807
mar,2015,1829
mar,2016,1456
mar,2017,2141
mar,2018,1484
mar,2019,2370
mar,2020,1988
mar,2021,2281
mar,2022,2441
mar,2023,1696
mar,2024,1741
mar,2025,2907
apr,2015,2349
apr,2016,2279
apr,2017,1796
apr,2018,2044
apr,2019,1721
apr,2020,1704
apr,2021,2588
apr,2022,1627
apr,2023,2138
apr,2024,2416
apr,2025,2084
mai,2015,2476
mai,2016,2070
mai,2017,2334
mai,2018,2231
mai,2019,2778
mai,2020,2432
mai,2021,2571
mai,2022,2320
mai,2023,2430
mai,2024,2741
mai,2025,3268
jun,2015,1739
jun,2016,1632
jun,2017,2240
jun,2018,2126
jun,2019,1942
jun,2020,2203
jun,2021,2134
jun,2022,1953
jun,2023,2224
jun,2024,2258
jun,2025,2105
jul,2015,694
jul,2016,674
jul,2017,1034
jul,2018,790
jul,2019,770
jul,2020,876
jul,2021,735
jul,2022,680
jul,2023,955
jul,2024,862
jul,2025,875
aug,2015,2529
aug,2016,2107
aug,2017,2220
aug,2018,2510
aug,2019,2638
aug,2020,2709
aug,2021,2627
aug,2022,2670
aug,2023,2685
aug,2024,3035
aug,2025,3020
sep,2015,1880
sep,2016,1858
sep,2017,2001
sep,2018,2140
sep,2019,2114
sep,2020,2256
sep,2021,1901
sep,2022,2172
sep,2023,2037
sep,2024,2337
sep,2025,2286
okt,2015,2037
okt,2016,1927
okt,2017,1844
okt,2018,2082
okt,2019,2073
okt,2020,2012
okt,2021,1874
okt,2022,2197
okt,2023,1888
okt,2024,1894
okt,2025,2006
nov,2015,1354
nov,2016,1305
nov,2017,1388
nov,2018,1397
nov,2019,1452
nov,2020,1584
nov,2021,1560
nov,2022,1342
nov,2023,1091
nov,2024,1112
nov,2025,1246
des,2015,332
des,2016,553
des,2017,716
des,2018,665
des,2019,674
des,2020,454
des,2021,473
des,2022,599
des,2023,624
des,2024,621
des,2025,696
