MonthNameShort,TotaltAntallSolgt,Year
jan,1510,2015
jan,1317,2016
jan,1374,2017
jan,1615,2018
jan,1703,2019
jan,1687,2020
jan,1482,2021
jan,1266,2022
jan,1608,2023
jan,1506,2024
jan,1948,2025
feb,1594,2015
feb,1472,2016
feb,1286,2017
feb,1399,2018
feb,1493,2019
feb,1536,2020
feb,1592,2021
feb,1324,2022
feb,1418,2023
feb,1431,2024
feb,1803,2025
mar,2223,2015
mar,1585,2016
mar,1783,2017
mar,1533,2018
mar,1775,2019
mar,1613,2020
mar,2357,2021
mar,2180,2022
mar,1917,2023
mar,1573,2024
mar,2173,2025
apr,1964,2015
apr,2108,2016
apr,1381,2017
apr,1756,2018
apr,1916,2019
apr,1473,2020
apr,2054,2021
apr,1612,2022
apr,1537,2023
apr,2210,2024
apr,2103,2025
mai,1935,2015
mai,2162,2016
mai,2102,2017
mai,2043,2018
mai,2431,2019
mai,2046,2020
mai,2170,2021
mai,2311,2022
mai,2220,2023
mai,2368,2024
mai,2491,2025
jun,2438,2015
jun,2007,2016
jun,1826,2017
jun,2169,2018
jun,2109,2019
jun,2539,2020
jun,2461,2021
jun,2046,2022
jun,2333,2023
jun,2438,2024
jun,2451,2025
jul,640,2015
jul,492,2016
jul,813,2017
jul,743,2018
jul,868,2019
jul,1170,2020
jul,785,2021
jul,582,2022
jul,682,2023
jul,945,2024
jul,978,2025
aug,2013,2015
aug,2078,2016
aug,1954,2017
aug,2093,2018
aug,2160,2019
aug,2442,2020
aug,2325,2021
aug,2273,2022
aug,2159,2023
aug,2373,2024
aug,2283,2025
sep,2156,2015
sep,1908,2016
sep,1821,2017
sep,1959,2018
sep,2198,2019
sep,2546,2020
sep,2169,2021
sep,2006,2022
sep,1930,2023
sep,2285,2024
sep,2415,2025
okt,1821,2015
okt,1676,2016
okt,1905,2017
okt,2025,2018
okt,2074,2019
okt,2099,2020
okt,1744,2021
okt,1617,2022
okt,1699,2023
okt,2097,2024
okt,2170,2025
nov,1620,2015
nov,1537,2016
nov,1547,2017
nov,1546,2018
nov,1588,2019
nov,1765,2020
nov,1776,2021
nov,1538,2022
nov,1391,2023
nov,1431,2024
nov,1542,2025
des,593,2015
des,529,2016
des,766,2017
des,656,2018
des,722,2019
des,803,2020
des,762,2021
des,589,2022
des,592,2023
des,684,2024
des,731,2025
